guid,Retrofit_Cost
9bec8eb6-8ba0-419d-9dfd-fda3fddbd25b,19788.23
daa4e4f9-3df2-44a0-908a-839a48b3ba39,77204.23
aedf4757-c319-4787-8676-b2a8b50ec0c6,66431.23
1688ecb5-b5e4-4894-b9a3-b10e9b650c18,60996.23
1360c487-ed42-4690-8eb9-c90fe117ddc8,60996.23
bb6d2922-09a8-4c8f-a803-4db2744857db,42401.23
349c1319-46ac-4467-9710-295fe03d728f,41605.23
5cd2ebc0-a56d-4d4c-8dd1-92ee199d6b48,40810.23
b0931416-1129-437d-8249-fc5f609a80a1,41600.23
4df58c32-ee4e-4643-b428-857f087b0c21,40675.23
34992f1c-b3c7-43ff-8996-724baf7bfa73,36699.23
bbf0cc71-e561-42df-89c4-44472cce00e5,35903.23
afc22db6-bacd-4687-9763-c10b8c6f02ec,37493.23
96102efe-9c81-4e61-bf36-8207d40fe2f7,36699.23
29159d74-00bd-45de-8953-38f90a2622bd,18783.23
8670b54b-e4a7-44cc-8410-e1974baf75ae,17443.23
cf4d3206-2cf5-4fe6-a969-c26ea85465ce,19043.23
8e04ba9d-1b71-4c9d-98bc-87bcf9d1870a,24590.23
87d3e4ab-f75f-4256-810e-92dcf93e7713,25386.23
3aac3797-ba46-463d-9804-6ea04e4bb01a,393469.23
2b99bdbe-6681-442a-b473-4528420ec9ec,389348.23
db5033d9-4175-40cd-84be-9d5c2d931db7,71279.23
dd84639d-2595-4a6b-9b2a-51db21f017b1,81936.23
1298e711-c5e0-4937-9687-bb521a4b1f0f,71931.23
753b8f17-2a95-4eaa-a1fe-e019715404d9,25009.23
bd3b57e1-3aa4-45a4-9363-7aa22f4c872f,22190.23
ecf5c2c9-3392-455f-8387-3600bb46e113,74805.23
25444e9b-efa8-457f-9c5a-b7eff01bb6ac,19694.23
a145e90f-ae55-4ea6-bcda-d3703bf78d6e,23419.23
54229662-6cb9-42f4-bbb6-1ddbb7f86c56,15841.23
ea455e5c-f209-4437-916b-1a825e247758,8703.23
965b65a1-e9e5-4d9a-8ce4-c828dc28814b,16801.23
32558cfc-8fe4-4b05-949f-33c2c4855773,18633.23
b187a00c-4666-4fac-8be5-ff0bbdad130f,145632.23
a24bde35-5b13-4011-9745-1ccbd9645bbe,18346.23
87ebb74c-8a48-454f-97a2-48f010e4d17b,21624.23
7edd7121-568c-402d-b046-c382bd08478c,20754.23
43a1c7bc-8718-43bb-93fd-ebaef197901f,13068.23
3eb77046-d112-4343-9f6b-014562fb48ff,33350.23
1265f3d1-274a-436d-9df5-e9a1be863c7c,17195.23
1c1fc883-e1f4-4088-b2cf-e729ae2ecac0,20336.23
8cf88b61-a658-4cc6-84e0-9e5d62cc81dc,24642.23
0972d250-5568-44cb-92d3-9693d442a9fc,21949.23
5740e36f-9bd1-4b41-ae47-7b7d4b23ca2f,20285.23
5d48f35a-f61c-4980-bee9-f3457ac47cb5,14867.23
8ebdf74e-9526-4ef0-b9a0-a9a8cdfb11f6,83231.23
9d1a7f76-3810-4ddb-a443-7cd4793ca0e0,37310.23
323e0a38-a2c4-4dd8-84cd-158c9ee4ce57,18773.23
7cb7123a-4104-4433-8557-f9fc4acd454d,49941.23
0985b2aa-db43-4f02-9653-c0f1209b7620,30896.23
c3715fb6-0afa-4c99-b19d-e61fa58eb34a,64153.23
56ff39a2-9cee-4d3b-800b-6240406a0f88,15674.23
